#Name:: Glass1_UV;Timestamp:: 2026-Feb-13 14:02:25;Device:: Ossila Spectrometer (COM3);Colour:: (57: 207: 25);Integration Time (ms):: 60.0;Accumulation Number:: 1;Averaging Number:: 1;Delay #Time:: 0;Trigger Mode:: Internal;Measurement Type:: Transmission/Reflection;Comments:: 
#Wavelength (nm),Intensity,Smoothed,Background,Reference
494.59,0.13881656804733727,0.13751092539613674,1675.0,33800.0
495.1,0.13504539711456529,0.13600013357282062,1653.0,34033.0
495.6,0.13644739536108105,0.13425489267119062,1602.0,34189.0
496.11,0.1347880773393395,0.13226437819764597,1635.0,34187.0
496.62,0.13032405374549924,0.13052862434665743,1687.0,34161.0
497.13,0.12835829593799172,0.12856253721963595,1661.0,34318.0
497.63,0.12791464708750394,0.1268900152263917,1623.0,34867.0
498.14,0.12806942666097595,0.1246003076165988,1648.0,35145.0
498.65,0.12378620041575306,0.12198227075579665,1661.0,35117.0
499.15,0.12173618175652763,0.11986098891394656,1589.0,35388.0
499.66,0.11915569677712211,0.11773974445834148,1623.0,35248.0
500.17,0.11832017718212277,0.11517677995731855,1643.0,35218.0
500.68,0.11355031926315194,0.11236627007666672,1661.0,35394.0
501.18,0.10860770873131813,0.11006527498402238,1715.0,35596.0
501.69,0.10911123532699832,0.1078147989543722,1664.0,35780.0
502.2,0.10714585138194115,0.10574131022036903,1666.0,35783.0
502.7,0.10228500207727462,0.10315070522962526,1677.0,36105.0
503.21,0.09996432785445765,0.10061487038946663,1676.0,36443.0
503.72,0.10077624948930955,0.09818976422535779,1643.0,36715.0
504.22,0.09923142146002571,0.09576125676219369,1672.0,36561.0
504.73,0.0984208094370906,0.09302114909485347,1629.0,36791.0
505.23,0.09241412727468504,0.09070988375547805,1627.0,37148.0
505.74,0.08819197086156566,0.08829764065242816,1625.0,37339.0
506.25,0.08435664709022958,0.08563240069264225,1663.0,37460.0
506.75,0.08482616069535721,0.08270122062413349,1693.0,37736.0
507.26,0.07974477470853902,0.07961558268019225,1686.0,38084.0
507.77,0.0791723486835204,0.07677002572540673,1684.0,38132.0
508.27,0.0758418968239588,0.07414680138408897,1657.0,38633.0
508.78,0.07412384989145043,0.07153738905299879,1684.0,38692.0
509.28,0.06991962077493817,0.06861256902117038,1699.0,38816.0
509.79,0.0675644299976782,0.0661229763153569,1650.0,38763.0
510.3,0.06395855772682976,0.0636102062210316,1621.0,38994.0
510.8,0.06195972744838808,0.06112343830600435,1635.0,39332.0
511.31,0.058262523779327835,0.05850775969216687,1651.0,39425.0
511.81,0.055577960377073146,0.05616849237154718,1653.0,39674.0
512.32,0.05484884765040407,0.05387154491713901,1631.0,40092.0
512.82,0.05404464774026749,0.051952144779367056,1673.0,40226.0
513.33,0.05097421767368628,0.05035462389713105,1628.0,40648.0
513.84,0.04796706375307559,0.04902296982049035,1671.0,41049.0
