Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.291797582523195320e+00,3.303999999999999715e-01,3.467083683017422313e-01
2.289681660388507289e+00,3.039999999999999925e-01,3.217234985405074132e-01
2.287569641737077220e+00,2.959999999999999853e-01,2.981497519454293088e-01
2.285461515777057251e+00,2.859999999999999765e-01,2.758819638630887749e-01
2.283315226398070052e+00,2.436000000000000110e-01,2.544341842065656611e-01
2.281214930919660766e+00,2.275999999999999968e-01,2.345893652917938887e-01
2.279118495781792486e+00,1.971999999999999864e-01,2.158713144310269449e-01
2.277025910351285987e+00,1.621999999999999831e-01,1.982448652321188165e-01
2.274937164033977055e+00,1.227999999999999647e-01,1.816795109402585262e-01
2.272810586898346585e+00,1.093999999999999834e-01,1.658463640639954717e-01
2.270729563433929066e+00,9.779999999999998417e-02,1.513373479583216552e-01
2.268652347323356189e+00,9.739999999999997271e-02,1.378021284094049781e-01
2.266578928127513048e+00,9.540000000000001257e-02,1.252092462974071507e-01
2.264467941342975355e+00,8.120000000000000828e-02,1.133005024367085001e-01
2.262402160229159520e+00,8.679999999999998828e-02,1.025066524851195315e-01
2.260340144734683143e+00,8.339999999999998803e-02,9.254764252803465707e-02
2.258281884572656661e+00,1.021999999999999992e-01,8.338429341372972925e-02
2.256227369493622348e+00,1.184000000000000052e-01,7.497620218233404243e-02
2.254176589285389554e+00,1.181999999999999995e-01,6.728214675558050195e-02
